RowNumber,AgingDays,Number_At_Risk_Nt,Number_of_Deaths_Dt,Number_Censored_Ct,Survival_Probability_St,GreenwoodVarianceEstimationforKaplanMeier,StandardErrorLinear,MarginofErrorLinear,UpperLimitLinear,LowerLimitLinear,LogLogSurvival,SE_LogLogSurvival,Upper_LogLog,Lower_LogLog,UpperLimit,LowerLimit,MarginofError,CumulativeHazard,VarianceofNelsonAalenEstimator,UpperLimitLargeSample,LowerLimitLargeSample,LogtransformedUpperLimit,LogtransformedLowerLimit,SurvivalFunctionEstimateNelsonAalen
120,119,12,2,0,0.388155678071,0.006042413024,0.0777329597,0.152356601,0.5405122791,0.2357990771,-0.05514410244,-0.08213986559,-0.216138239,0.1058500341,0.446809064,0.3290139415,0.05889756124,0.927035,0.034853,1.292946581,0.5611234194,1.375679462,0.6247050384,0.3957252981
121,120,10,1,1,0.349340400000,0.006250334831,0.07905905913,0.1549557559,0.5042961559,0.1943846441,0.0504159422,-0.07517203031,-0.09692123721,0.1977531216,0.4034803503,0.2956255984,0.05392737594,1.027035,0.044853,1.442134126,0.6119358735,1.538562191,0.6855757263,0.358067057
122,121,8,0,0,0.349340000000,0.006250320518,0.07905896861,0.1549555785,0.5042955785,0.1943844215,0.05041703092,-0.0751718624,-0.09691981939,0.1977538812,0.4034798311,0.2956253248,0.05392725316,1.027035,0.044853,1.442134126,0.6119358735,1.538562191,0.6855757263,0.358067057
123,122,8,1,0,0.305672500000,0.006453882535,0.08033605999,0.1574586776,0.4631311776,0.1482138224,0.1699461201,-0.06778035979,0.03709661487,0.3027956253,0.3542355179,0.2582989131,0.0479683024,1.152035,0.060478,1.634043594,0.6700264059,1.750545529,0.7581548835,0.3159930687
124,123,7,1,0,0.262005472239,0.006376126992,0.0798506543,0.1565072824,0.4185127547,0.1054981898,0.2922141889,-0.05961718594,0.1753645045,0.4090638734,0.3037104464,0.2219267575,0.04089184448,1.294892,0.080886,1.852325097,0.737458903,1.991550465,0.8419296027,0.2739274469
125,124,6,0,0,0.262005000000,0.006376104008,0.07985051038,0.1565070003,0.4185120003,0.1054979997,0.2922155282,-0.05961699865,0.1753662109,0.4090648456,0.3037098288,0.2219264327,0.04089169809,1.294892,0.080886,1.852325097,0.737458903,1.991550465,0.8419296027,0.2739274469
126,125,6,0,0,0.262005000000,0.006376104008,0.07985051038,0.1565070003,0.4185120003,0.1054979997,0.2922155282,-0.05961699865,0.1753662109,0.4090648456,0.3037098288,0.2219264327,0.04089169809,1.294892,0.080886,1.852325097,0.737458903,1.991550465,0.8419296027,0.2739274469
127,126,6,0,0,0.262005000000,0.006376104008,0.07985051038,0.1565070003,0.4185120003,0.1054979997,0.2922155282,-0.05961699865,0.1753662109,0.4090648456,0.3037098288,0.2219264327,0.04089169809,1.294892,0.080886,1.852325097,0.737458903,1.991550465,0.8419296027,0.2739274469
128,127,6,1,0,0.218337412665,0.006016871432,0.0775684951,0.1520342504,0.3703716631,0.06630316227,0.4198370845,-0.05097443721,0.3199271875,0.5197469814,0.2523274839,0.1860756218,0.03312593106,1.461559,0.108664,2.107657771,0.8154602286,2.274056048,0.9393588658,0.2318745005
129,128,5,0,0,0.218337000000,0.006016848688,0.07756834849,0.152033963,0.370370963,0.06630303695,0.4198383185,-0.05097427796,0.3199287337,0.5197479033,0.2523269467,0.1860753333,0.03312580668,1.461559,0.108664,2.107657771,0.8154602286,2.274056048,0.9393588658,0.2318745005
130,129,5,0,0,0.218337000000,0.006016848688,0.07756834849,0.152033963,0.370370963,0.06630303695,0.4198383185,-0.05097427796,0.3199287337,0.5197479033,0.2523269467,0.1860753333,0.03312580668,1.461559,0.108664,2.107657771,0.8154602286,2.274056048,0.9393588658,0.2318745005
131,130,5,1,0,0.174669600000,0.005376256618,0.07332296106,0.1437130037,0.3183826037,0.03095659633,0.5566737744,-0.04202228358,0.4743100985,0.6390374502,0.2005071827,0.1503700083,0.02506858722,1.661559,0.148664,2.417275628,0.9058423716,2.618443739,1.054358461,0.1898427844
132,131,4,0,0,0.174670000000,0.005376281242,0.07332312897,0.1437133328,0.3183833328,0.03095666722,0.5566724619,-0.04202243496,0.4743084894,0.6390364344,0.2005077012,0.1503702977,0.02506870176,1.661559,0.148664,2.417275628,0.9058423716,2.618443739,1.054358461,0.1898427844
133,132,4,0,0,0.174670000000,0.005376281242,0.07332312897,0.1437133328,0.3183833328,0.03095666722,0.5566724619,-0.04202243496,0.4743084894,0.6390364344,0.2005077012,0.1503702977,0.02506870176,1.661559,0.148664,2.417275628,0.9058423716,2.618443739,1.054358461,0.1898427844
134,133,4,2,0,0.087335000000,0.003250920867,0.05701684722,0.1117530206,0.1990880206,0,0.8911796207,-0.02338669271,0.845341703,0.9370175384,0.09741516059,0.07789778609,0.009758687252,2.161559,0.231997,3.105613911,1.217504089,3.345368838,1.396658347,0.1151454692
135,134,2,0,0,0.087335000000,0.003250920867,0.05701684722,0.1117530206,0.1990880206,0,0.8911796207,-0.02338669271,0.845341703,0.9370175384,0.09741516059,0.07789778609,0.009758687252,2.161559,0.231997,3.105613911,1.217504089,3.345368838,1.396658347,0.1151454692
136,135,2,1,0,0.043667500000,0.001766155495,0.04202565282,0.08237027953,0.1260377795,0,1.14140065,-0.01342179082,1.11509394,1.16770736,0.04736580761,0.04017082752,0.003597490048,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
137,136,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
138,137,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
139,138,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
140,139,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
141,140,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
142,141,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
143,142,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
144,143,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
145,144,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
146,145,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
147,146,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
148,147,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
149,148,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
150,149,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
151,150,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
152,151,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
153,152,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
154,153,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
155,154,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
156,155,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
157,156,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
158,157,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
159,158,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
160,159,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
161,160,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
162,161,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
